StudentID,Gender,Age,ParentEducation,StudyHoursPerWeek,AttendanceRate,InternetAccess,MidtermScore,FinalScore,Result
1424,Female,17,Primary,19.8,43.9,Yes,27.3,33.6,0
1425,Male,16,Secondary,31.3,52.6,No,58.0,54.0,1
1426,Male,19,Primary,,73.1,No,52.6,62.1,1
1427,Male,20,Primary,30.6,,Yes,76.8,89.6,1
1428,Male,19,Higher,19.4,53.2,No,33.5,43.6,0
1429,Male,15,Higher,23.7,76.4,Yes,59.7,64.0,1
1430,Male,16,Higher,26.8,76.4,No,38.4,47.8,0
1431,Female,18,Higher,20.8,79.7,No,37.2,45.2,0
1432,Male,15,Primary,37.0,51.3,Yes,51.4,55.6,1
1433,Female,18,Secondary,32.7,73.8,No,56.2,75.1,1
1434,Female,17,None,29.5,66.5,No,46.4,38.9,0
1435,Female,19,Secondary,18.5,39.2,No,16.8,24.9,0
1436,Male,21,Primary,26.6,69.5,Yes,55.8,58.4,1
1437,Male,15,Secondary,35.3,59.0,Yes,39.7,52.5,1
1438,Male,17,Primary,2.0,99.0,Yes,19.4,23.7,0
1439,Male,20,None,27.8,63.4,Yes,26.8,28.0,0
1440,Male,18,None,16.9,97.8,No,53.1,52.7,1
1441,Male,16,Primary,37.2,,No,50.3,52.0,1
1442,Female,20,Higher,24.8,82.0,Yes,46.8,61.1,1
1443,Female,22,None,35.2,47.2,Yes,44.7,41.8,0
1444,Female,21,Secondary,31.2,50.0,Yes,53.4,74.7,1
1445,Female,22,None,29.2,37.9,No,39.7,50.2,1
1446,Male,22,None,10.8,78.4,No,37.4,29.2,0
1447,Female,20,None,21.4,56.9,No,10.4,10.4,0
1448,Male,17,Primary,8.0,79.8,Yes,37.7,54.3,1
1449,Male,17,Primary,1.1,83.6,Yes,22.2,28.5,0
1450,Female,22,Higher,18.2,72.1,Yes,40.6,39.7,0
1451,Male,15,Primary,6.8,,Yes,34.7,47.0,0
1452,Female,17,Primary,27.2,72.8,No,29.8,35.9,0
1453,Female,15,None,31.0,52.6,No,34.7,47.6,0
1454,Female,20,Higher,21.5,78.7,Yes,55.8,61.5,1
1455,Female,19,Higher,24.7,52.2,Yes,54.5,65.2,1
1456,Female,17,Primary,28.6,98.5,Yes,69.7,70.2,1
1457,Female,21,None,14.0,69.2,Yes,38.9,40.2,0
1458,Female,15,None,27.7,53.9,No,47.5,51.2,1
1459,Female,22,Higher,32.1,75.2,Yes,39.4,48.2,0
1460,Male,19,Secondary,22.7,31.3,Yes,29.4,50.5,1
1461,Male,19,None,14.2,56.3,Yes,41.3,39.9,0
1462,Female,15,Secondary,17.1,64.8,Yes,33.5,54.2,1
1463,Male,20,None,31.3,93.9,Yes,62.4,63.4,1
1464,Female,20,Primary,31.0,,No,20.3,38.0,0
1465,Female,16,None,13.1,33.1,No,20.1,27.6,0
1466,Male,19,Primary,13.5,43.5,Yes,24.9,36.3,0
1467,Female,16,None,38.4,69.2,Yes,39.4,44.8,0
1468,Male,16,Secondary,24.9,53.7,Yes,67.0,73.0,1
1469,Male,16,Higher,16.3,79.3,No,30.0,35.1,0
1470,Male,22,Primary,4.6,86.2,No,36.2,39.0,0
1471,Female,18,Primary,6.6,92.7,Yes,37.0,43.4,0
1472,Female,15,None,19.5,54.6,Yes,33.8,42.4,0
1473,Male,21,None,13.7,75.5,No,21.3,18.5,0
1474,Female,16,Secondary,9.1,78.6,Yes,51.7,48.7,0
1475,Male,16,Higher,5.5,71.7,Yes,48.8,47.8,0
1476,Female,20,Higher,26.2,34.3,Yes,55.3,61.9,1
1477,Male,17,Higher,21.7,57.3,Yes,57.6,52.4,1
1478,Female,20,None,23.7,72.8,Yes,56.4,45.7,0
1479,Male,15,Secondary,5.3,49.8,Yes,22.0,15.8,0
1480,Male,17,Higher,6.4,68.9,No,21.8,33.7,0
1481,Male,17,None,3.8,31.1,No,5,6.3,0
1482,Female,21,Primary,18.7,,No,30.3,39.5,0
1483,Female,18,Secondary,17.0,68.2,Yes,51.7,56.5,1
1484,Male,19,Higher,21.2,66.6,Yes,45.0,58.6,1
1485,Female,15,Secondary,21.9,30.8,Yes,40.8,45.7,0
1486,Male,15,Secondary,29.4,69.5,Yes,55.1,64.5,1
1487,Male,19,Higher,,65.4,No,33.4,31.9,0
1488,Male,17,Higher,15.4,,No,49.1,56.3,1
1489,Male,17,Primary,33.7,82.7,Yes,50.9,51.5,1
1490,Male,19,None,3.0,62.5,Yes,6.7,23.5,0
1491,Female,22,Secondary,6.7,,Yes,46.5,46.8,0
1492,Female,21,Secondary,14.1,48.7,Yes,13.8,15.5,0
1493,Male,20,Primary,13.2,30.7,Yes,35.5,27.3,0
1494,Female,18,None,1.9,36.4,No,5,5,0
1495,Male,16,Primary,15.7,83.5,Yes,40.6,51.2,1
1496,Male,22,Secondary,31.0,78.5,No,54.5,55.0,1
1497,Male,21,Higher,14.0,34.2,No,34.7,18.9,0
1498,Female,16,Primary,22.1,,Yes,45.5,49.7,0
1499,Male,19,Higher,1.7,64.8,No,31.7,32.4,0
1500,Male,22,Higher,,89.1,No,52.1,48.7,0
